form field name,zendesk field id,values
uk_telephone_number,14293705450269,String
triage_journey,14293683697437,String
find_out_about,11013312910749,"{""ngo"": ""ngo__ess_acquisition"", ""other"": ""other__ess_acquisition"", ""twitter"": ""twitter__ess_acquisition"", ""facebook"": ""facebook__ess_acquisition"", ""linkedin"": ""linkedin__ess_acquisition"", ""news_article"": ""news_article__ess_acquisition"", ""print_advert"": ""print_advert__ess_acquisition"", ""radio_advert"": ""radio_advert__ess_acquisition"", ""online_advert"": ""online_advert__ess_acquisition"", ""search_engine"": ""search_engine__ess_acquisition""}"
company_registration_number,360023718758,String
business_postcode,360026747617,String
business_name,360023876777,String
annual_turnover,1900000266173,"{""10m"": ""10000000__ess_turnover_1"", ""<85k"": ""0_85000__ess_turnover_1"", ""dontknow"": ""dont_know__ess_turnover_1"", ""2m-4999.999k"": ""2000000_4999999__ess_turnover_1"", ""5m-9999.999k"": ""5000000_9999999__ess_turnover_1"", ""85k-499.000k"": ""85000_499999__ess_turnover_1"", ""50k-1999.999k"": ""500000_1999999__ess_turnover_1"", ""prefernottosay"": ""not_given__ess_turnover_1""}"
number_of_employees,360023852217,"{""1-9"": ""0_10__ess_num_of_employees_1"", ""10-49"": ""10_49__ess_num_of_employees_1"", ""50-249"": ""50_249__ess_num_of_employees_1"", ""250-499"": ""250_499__ess_num_of_employees_1"", ""500plus"": ""500__ess_num_of_employees_1"", ""dontknow"": ""unknown__ess_num_of_employees_1"", ""prefernottosay"": ""prefer_not_to_say__ess_num_of_employees_1""}"
type,1900000265733,"{""cse"": ""charity_social_enterprise__ess_organistation"", ""other"": ""other__ess_organistation"", ""soletrader"": ""soletrader__ess_organistation"", ""university"": ""university__ess_organistation"", ""partnership"": ""partnership__ess_organistation"", ""othereduinst"": ""other_education_institution__ess_organistation"", ""closedbusiness"": ""closed_business__ess_organistations"", ""limitedliability"": ""partnership__ess_organistation"", ""privateindividual"": ""private_individuals__ess_organistation"", ""notcurrentlytrading"": ""not_trading_yet__ess_organistation"", ""publiclimitedcompany"": ""public_limited_company__ess_organistation"", ""privatelimitedcompany"": ""private_limited_company__ess_organistation""}"
markets,1900001969653,[<COUNTRY_NAME>__ess_export] for full list of countries see - https://github.com/uktrade/directory-constants/blob/master/directory_constants/fixtures/country.json
sector_primary,1900000266233,https://github.com/uktrade/great-cms/blob/767b1aae1719711cda755279400bdef1b396678a/contact/constants.py#L65
about_your_experience,11977451478941,"{""noproduct"": ""not_exported__ess_experience"", ""last12months"": ""in_the_last_year__ess_experience"", ""neverexported"": ""not_exported__ess_experience"", ""notinlast12months"": ""more_than_a_year_ago__ess_experience""}"
enquiry_subject,18514185417245,"{""other_ess_dep_testing"": ""other_ess_dep_testing"", ""dont_know_ess_dep_testing"": ""dont_know_ess_dep_testing"", ""logistics_ess_dep_testing"": ""logistics_ess_dep_testing"", ""market_selection_ess_dep_testing"": ""market_selection_ess_dep_testing"", ""routes_to_market_ess_dep_testing"": ""routes_to_market_ess_dep_testing"", ""operating_overseas_ess_dep_testing"": ""operating_overseas_ess_dep_testing"", ""sales_and_marketing_ess_dep_testing"": ""sales_and_marketing_ess_dep_testing"", ""regulations_and_licensing_ess_dep_testing"": ""regulations_and_licensing_ess_dep_testing"", ""customs_taxes_and_declarations_ess_dep_testing"": ""customs_taxes_and_declarations_ess_dep_testing"", ""funding_and_financial_considerations_ess_dep_testing"": ""funding_and_financial_considerations_ess_dep_testing"", ""managing_business_risk_and_corruption_ess_dep_testing"": ""managing_business_risk_and_corruption_ess_dep_testing"", ""trade_restrictions_regulations_and_licensing_ess_dep_testing"": ""trade_restrictions_regulations_and_licensing_ess_dep_testing"", ""travelling_for_work_and_hiring_people_overseas_ess_dep_testing"": ""travelling_for_work_and_hiring_people_overseas_ess_dep_testing""}"
enquiry_subject_level_2,18514185417245,"{""other_1_ess_dep_testing"": ""other_1_ess_dep_testing"", ""dont_know_1_ess_dep_testing"": ""dont_know_1_ess_dep_testing"", ""rules_of_origin_ess_dep_testing"": ""rules_of_origin_ess_dep_testing"", ""exporting_samples_ess_dep_testing"": ""exporting_samples_ess_dep_testing"", ""special_procedures_ess_dep_testing"": ""special_procedures_ess_dep_testing"", ""customs_declarations_ess_dep_testing"": ""customs_declarations_ess_dep_testing"", ""product_classification_ess_dep_testing"": ""product_classification_ess_dep_testing"", ""uk_and_overseas_customs_ess_dep_testing"": ""uk_and_overseas_customs_ess_dep_testing"", ""tax_and_duty_liabilities_ess_dep_testing"": ""tax_and_duty_liabilities_ess_dep_testing"", ""conduct_declarations_on_your_behalf_ess_dep_testing"": ""conduct_declarations_on_your_behalf_ess_dep_testing"", ""moving_goods_through_a_third_country_ess_dep_testing"": ""moving_goods_through_a_third_country_ess_dep_testing"", ""place_of_supply_for_service_providers_ess_dep_testing"": ""place_of_supply_for_service_providers_ess_dep_testing"", ""taking_goods_temporarily_out_of_the_uk_ess_dep_testing"": ""taking_goods_temporarily_out_of_the_uk_ess_dep_testing""}"
enquiry_subject_level_3,18514185417245,"{""rules_of_origin_ess_dep_testing__do_not_know"": ""rules_of_origin_ess_dep_testing__do_not_know"", ""exporting_samples_ess_dep_testing__do_not_know"": ""exporting_samples_ess_dep_testing__do_not_know"", ""special_procedures_ess_dep_testing__do_not_know"": ""special_procedures_ess_dep_testing__do_not_know"", ""customs_declarations_ess_dep_testing__do_not_know"": ""customs_declarations_ess_dep_testing__do_not_know"", ""rules_of_origin_ess_dep_testing__not_listed_above"": ""rules_of_origin_ess_dep_testing__not_listed_above"", ""exporting_samples_ess_dep_testing__not_listed_above"": ""exporting_samples_ess_dep_testing__not_listed_above"", ""product_classification_ess_dep_testing__do_not_know"": ""product_classification_ess_dep_testing__do_not_know"", ""special_procedures_ess_dep_testing__not_listed_above"": ""special_procedures_ess_dep_testing__not_listed_above"", ""uk_and_overseas_customs_ess_dep_testing__do_not_know"": ""uk_and_overseas_customs_ess_dep_testing__do_not_know"", ""special_procedures_ess_dep_testing__inward_processing"": ""special_procedures_ess_dep_testing__inward_processing"", ""tax_and_duty_liabilities_ess_dep_testing__do_not_know"": ""tax_and_duty_liabilities_ess_dep_testing__do_not_know"", ""customs_declarations_ess_dep_testing__not_listed_above"": ""customs_declarations_ess_dep_testing__not_listed_above"", ""special_procedures_ess_dep_testing__outward_processing"": ""special_procedures_ess_dep_testing__outward_processing"", ""product_classification_ess_dep_testing__not_listed_above"": ""product_classification_ess_dep_testing__not_listed_above"", ""rules_of_origin_ess_dep_testing__binding_origin_decision"": ""rules_of_origin_ess_dep_testing__binding_origin_decision"", ""customs_declarations_ess_dep_testing__submit_declarations"": ""customs_declarations_ess_dep_testing__submit_declarations"", ""uk_and_overseas_customs_ess_dep_testing__not_listed_above"": ""uk_and_overseas_customs_ess_dep_testing__not_listed_above"", ""customs_declarations_ess_dep_testing__right_commodity_code"": ""customs_declarations_ess_dep_testing__right_commodity_code"", ""tax_and_duty_liabilities_ess_dep_testing__not_listed_above"": ""tax_and_duty_liabilities_ess_dep_testing__not_listed_above"", ""rules_of_origin_ess_dep_testing__understand_rules_of_origin"": ""rules_of_origin_ess_dep_testing__understand_rules_of_origin"", ""tax_and_duty_liabilities_ess_dep_testing__withholding_taxes"": ""tax_and_duty_liabilities_ess_dep_testing__withholding_taxes"", ""tax_and_duty_liabilities_ess_dep_testing__pay_relevant_taxes"": ""tax_and_duty_liabilities_ess_dep_testing__pay_relevant_taxes"", ""product_classification_ess_dep_testing__advance_tariff_ruling"": ""product_classification_ess_dep_testing__advance_tariff_ruling"", ""product_classification_ess_dep_testing__classify_your_products"": ""product_classification_ess_dep_testing__classify_your_products"", ""uk_and_overseas_customs_ess_dep_testing__merchandise_in_baggage"": ""uk_and_overseas_customs_ess_dep_testing__merchandise_in_baggage"", ""uk_and_overseas_customs_ess_dep_testing__zero_rating_for_uk_vat"": ""uk_and_overseas_customs_ess_dep_testing__zero_rating_for_uk_vat"", ""conduct_declarations_on_your_behalf_ess_dep_testing__do_not_know"": ""conduct_declarations_on_your_behalf_ess_dep_testing__do_not_know"", ""customs_declarations_ess_dep_testing__make_a_customs_declaration"": ""customs_declarations_ess_dep_testing__make_a_customs_declaration"", ""rules_of_origin_ess_dep_testing__complete_certificates_of_origin"": ""rules_of_origin_ess_dep_testing__complete_certificates_of_origin"", ""tax_and_duty_liabilities_ess_dep_testing__vat_and_taxation_rules"": ""tax_and_duty_liabilities_ess_dep_testing__vat_and_taxation_rules"", ""moving_goods_through_a_third_country_ess_dep_testing__do_not_know"": ""moving_goods_through_a_third_country_ess_dep_testing__do_not_know"", ""special_procedures_ess_dep_testing__apply_for_temporary_admission"": ""special_procedures_ess_dep_testing__apply_for_temporary_admission"", ""uk_and_overseas_customs_ess_dep_testing__shipping_with_royal_mail"": ""uk_and_overseas_customs_ess_dep_testing__shipping_with_royal_mail"", ""place_of_supply_for_service_providers_ess_dep_testing__do_not_know"": ""place_of_supply_for_service_providers_ess_dep_testing__do_not_know"", ""rules_of_origin_ess_dep_testing__determine_goods_country_of_origin"": ""rules_of_origin_ess_dep_testing__determine_goods_country_of_origin"", ""taking_goods_temporarily_out_of_the_uk_ess_dep_testing__ata_carnet"": ""taking_goods_temporarily_out_of_the_uk_ess_dep_testing__ata_carnet"", ""tax_and_duty_liabilities_ess_dep_testing__tax_and_duty_liabilities"": ""tax_and_duty_liabilities_ess_dep_testing__tax_and_duty_liabilities"", ""uk_and_overseas_customs_ess_dep_testing__interact_overseas_customs"": ""uk_and_overseas_customs_ess_dep_testing__interact_overseas_customs"", ""special_procedures_ess_dep_testing__use_a_customs_specila_procedure"": ""special_procedures_ess_dep_testing__use_a_customs_specila_procedure"", ""taking_goods_temporarily_out_of_the_uk_ess_dep_testing__do_not_know"": ""taking_goods_temporarily_out_of_the_uk_ess_dep_testing__do_not_know"", ""tax_and_duty_liabilities_ess_dep_testing__calculate_taxes_and_duties"": ""tax_and_duty_liabilities_ess_dep_testing__calculate_taxes_and_duties"", ""conduct_declarations_on_your_behalf_ess_dep_testing__not_listed_above"": ""conduct_declarations_on_your_behalf_ess_dep_testing__not_listed_above"", ""customs_declarations_ess_dep_testing__different_types_of_declarations"": ""customs_declarations_ess_dep_testing__different_types_of_declarations"", ""special_procedures_ess_dep_testing__eligible_goods_and_authorise_uses"": ""special_procedures_ess_dep_testing__eligible_goods_and_authorise_uses"", ""customs_declarations_ess_dep_testing__necessary_certificates_of_origin"": ""customs_declarations_ess_dep_testing__necessary_certificates_of_origin"", ""exporting_samples_ess_dep_testing__understand_customs_declaration_when"": ""exporting_samples_ess_dep_testing__understand_customs_declaration_when"", ""moving_goods_through_a_third_country_ess_dep_testing__not_listed_above"": ""moving_goods_through_a_third_country_ess_dep_testing__not_listed_above"", ""taking_goods_temporarily_out_of_the_uk_ess_dep_testing__claim_with_rgr"": ""taking_goods_temporarily_out_of_the_uk_ess_dep_testing__claim_with_rgr"", ""customs_declarations_ess_dep_testing__products_meet_the_rules_of_origin"": ""customs_declarations_ess_dep_testing__products_meet_the_rules_of_origin"", ""moving_goods_through_a_third_country_ess_dep_testing__register_for_gvms"": ""moving_goods_through_a_third_country_ess_dep_testing__register_for_gvms"", ""place_of_supply_for_service_providers_ess_dep_testing__not_listed_above"": ""place_of_supply_for_service_providers_ess_dep_testing__not_listed_above"", ""taking_goods_temporarily_out_of_the_uk_ess_dep_testing__not_listed_above"": ""taking_goods_temporarily_out_of_the_uk_ess_dep_testing__not_listed_above"", ""customs_declarations_ess_dep_testing__calculate_relevant_taxes_and_duties"": ""customs_declarations_ess_dep_testing__calculate_relevant_taxes_and_duties"", ""place_of_supply_for_service_providers_ess_dep_testing__vat_and_taxation_rules"": ""place_of_supply_for_service_providers_ess_dep_testing__vat_and_taxation_rules"", ""place_of_supply_for_service_providers_ess_dep_testing__what_a_service_export_is"": ""place_of_supply_for_service_providers_ess_dep_testing__what_a_service_export_is"", ""moving_goods_through_a_third_country_ess_dep_testing__using_transit_to_move_goods"": ""moving_goods_through_a_third_country_ess_dep_testing__using_transit_to_move_goods"", ""taking_goods_temporarily_out_of_the_uk_ess_dep_testing__claim_with_duplicate_list"": ""taking_goods_temporarily_out_of_the_uk_ess_dep_testing__claim_with_duplicate_list"", ""moving_goods_through_a_third_country_ess_dep_testing__understand_how_to_move_goods"": ""moving_goods_through_a_third_country_ess_dep_testing__understand_how_to_move_goods"", ""conduct_declarations_on_your_behalf_ess_dep_testing__learn_about_freight_forwarding"": ""conduct_declarations_on_your_behalf_ess_dep_testing__learn_about_freight_forwarding"", ""conduct_declarations_on_your_behalf_ess_dep_testing__understand_how_to_hire_someone"": ""conduct_declarations_on_your_behalf_ess_dep_testing__understand_how_to_hire_someone"", ""taking_goods_temporarily_out_of_the_uk_ess_dep_testing__understand_how_to_take_goods"": ""taking_goods_temporarily_out_of_the_uk_ess_dep_testing__understand_how_to_take_goods"", ""place_of_supply_for_service_providers_ess_dep_testing__vat_considerations_for_services"": ""place_of_supply_for_service_providers_ess_dep_testing__vat_considerations_for_services"", ""conduct_declarations_on_your_behalf_ess_dep_testing__custom_agent_or_fast_parcel_operator"": ""conduct_declarations_on_your_behalf_ess_dep_testing__custom_agent_or_fast_parcel_operator"", ""place_of_supply_for_service_providers_ess_dep_testing__relevant_duties_taxes_for_services"": ""place_of_supply_for_service_providers_ess_dep_testing__relevant_duties_taxes_for_services""}"
